date,xejVolatility,cloudCover
2018-11-09,198.5,34
2018-11-12,239.2998046875,95
2018-11-13,222.7001953125,53
2018-11-14,359.599609375,49
2018-11-15,149.0,9
2018-11-16,130.2998046875,5
2018-11-19,201.099609375,80
2018-11-20,140.5,85
2018-11-21,347.599609375,59
2018-11-22,116.1005859375,50
2018-11-23,150.30078125,54
2018-11-26,294.2998046875,63
2018-11-27,153.19921875,71
2018-11-28,108.900390625,59
2018-11-29,137.5,15
2018-11-30,184.0,0
2018-12-03,464.8994140625,46
2018-12-04,191.19921875,41
2018-12-05,241.7001953125,32
2018-12-06,108.099609375,63
2018-12-07,193.8994140625,92
2018-12-10,186.2001953125,72
2018-12-11,138.900390625,67
2018-12-12,235.19921875,69
2018-12-13,87.1005859375,69
2018-12-14,227.5,80
2018-12-17,187.7998046875,56
2018-12-18,275.3994140625,90
2018-12-19,285.7001953125,29
2018-12-20,178.5,2
2018-12-21,182.0,37
2018-12-24,226.900390625,1
2018-12-27,328.1005859375,46
2018-12-28,153.7001953125,78
2018-12-31,101.5,0
2019-01-02,264.0,13
2019-01-03,325.6005859375,0
2019-01-04,225.0,11
2019-01-07,275.2001953125,76
2019-01-08,129.7998046875,5
2019-01-09,234.1005859375,28
2019-01-10,178.099609375,45
2019-01-11,90.8994140625,22
2019-01-14,136.2001953125,29
2019-01-15,147.900390625,30
2019-01-16,63.599609375,69
2019-01-17,135.5,97
2019-01-18,125.1005859375,96
2019-01-21,121.599609375,40
2019-01-22,161.69921875,6
2019-01-23,206.599609375,0
2019-01-24,260.400390625,15
2019-01-25,159.6005859375,81
2019-01-29,158.400390625,1
2019-01-30,134.0,13
2019-01-31,206.2001953125,24
2019-02-01,154.0,0
2019-02-04,173.5,22
2019-02-05,198.7998046875,42
2019-02-06,139.7998046875,47
2019-02-07,155.0,17
2019-02-08,343.2998046875,66
2019-02-11,129.8994140625,62
2019-02-12,149.900390625,65
2019-02-13,193.2998046875,45
2019-02-14,238.900390625,32
2019-02-15,129.900390625,5
2019-02-18,226.8994140625,43
2019-02-19,115.599609375,45
2019-02-20,145.2998046875,58
2019-02-21,188.7998046875,3
2019-02-22,243.30078125,0
2019-02-25,75.5,46
2019-02-26,139.2001953125,1
2019-02-27,102.5,4
2019-02-28,120.7998046875,16
2019-03-01,194.7998046875,1
2019-03-04,84.5,71
2019-03-05,127.099609375,72
2019-03-06,162.2001953125,70
2019-03-07,94.5,63
2019-03-08,171.400390625,78
2019-03-11,232.400390625,69
2019-03-12,145.8994140625,46
2019-03-13,146.400390625,66
2019-03-14,177.19921875,0
2019-03-15,127.900390625,4
2019-03-18,71.2998046875,53
2019-03-19,166.400390625,19
2019-03-20,73.30078125,31
2019-03-21,112.80078125,52
2019-03-22,141.0,59
2019-03-25,399.2998046875,77
2019-03-26,160.69921875,62
2019-03-27,89.900390625,19
2019-03-28,185.5,55
2019-03-29,71.7998046875,58
2019-04-01,82.3994140625,32
2019-04-02,150.5,12
2019-04-03,142.900390625,76
2019-04-04,217.400390625,41
2019-04-05,90.099609375,62
2019-04-08,189.099609375,64
2019-04-09,247.5,61
2019-04-10,127.2998046875,36
2019-04-11,94.2001953125,34
2019-04-12,91.80078125,13
2019-04-15,62.3994140625,80
2019-04-16,178.69921875,25
2019-04-17,126.7998046875,72
2019-04-18,160.0,32
2019-04-23,299.0,13
2019-04-24,142.3994140625,26
2019-04-26,207.69921875,80
2019-04-29,171.7001953125,13
2019-04-30,186.900390625,94
