date,xejVolatility,cloudCover,viterbi_state_index,viterbi_state_label,posterior_low,posterior_normal,posterior_high,state_entropy
2022-01-24,114.2001953125,70,0,Normal Volatility,0.3080795909269786,0.5360596178319766,0.15586079124085783,0.9866832964118686
2022-01-25,411.0,33,0,Normal Volatility,1.34290872312419e-12,0.7148295640129279,0.28517043598543507,0.5977705392322951
2022-01-27,352.2998046875,13,0,Normal Volatility,1.0502207079010752e-08,0.8554274380765554,0.14457255142101327,0.4131781437386712
2022-01-28,185.5,36,0,Normal Volatility,0.15288998643512752,0.8204042906662535,0.026705722898970555,0.54629017046823
2022-01-31,186.2998046875,19,0,Normal Volatility,0.29447861303602774,0.7015173503956383,0.004004036568478299,0.6308132650815181
2022-02-01,90.2001953125,47,0,Normal Volatility,0.5310299804083015,0.4642997353874247,0.004670284204093952,0.7173940043518677
2022-02-02,253.3994140625,57,0,Normal Volatility,0.018553687361164254,0.9795893256218773,0.0018569870167728679,0.10585432535660887
2022-02-03,123.7998046875,22,1,Low Volatility,0.7642477616938861,0.23541029720470166,0.00034194110149308717,0.5487105424535778
2022-02-04,105.30078125,37,1,Low Volatility,0.8617230153726785,0.13786525096003177,0.0004117336670695503,0.4046293666109384
2022-02-07,188.2998046875,20,1,Low Volatility,0.6602991331413745,0.33951480941546736,0.00018605744302727475,0.6424201193928215
2022-02-08,92.7001953125,51,1,Low Volatility,0.8462947169841857,0.15303085737190658,0.0006744256441596728,0.4334171504685593
2022-02-09,174.2001953125,48,1,Low Volatility,0.7410872474457788,0.2584642118201512,0.0004485407342645603,0.5752167004291793
2022-02-10,143.6005859375,42,1,Low Volatility,0.8109136864291987,0.18863580903670127,0.00045050453429285156,0.4880662249279324
2022-02-11,135.8994140625,11,1,Low Volatility,0.714283671187279,0.28530528164755825,0.0004110471651860206,0.6013721238688055
2022-02-14,316.5,1,0,Normal Volatility,4.5957937091181256e-06,0.9968241845868064,0.0031712196193516883,0.021473304130877537
2022-02-15,266.099609375,79,0,Normal Volatility,0.0011712639806648292,0.9896361640923724,0.00919257192656852,0.06132286699124062
2022-02-16,141.599609375,92,1,Low Volatility,0.4661779977009881,0.5272415330869281,0.006580469211743689,0.7263247752003827
